职位,城市,经验,学历,工资水平
开发工程师,武汉,2年经验,大专,10000.0
开发工程师,深圳,在校生\/应届生,高中,7000.0
其他,北京,1年经验,本科,8000.0
其他,深圳,3-4年经验,本科,16500.0
开发工程师,南京,1年经验,大专,11500.0
开发工程师,上海,3-4年经验,本科,22500.0
开发工程师,深圳,5-7年经验,本科,22500.0
开发工程师,深圳,1年经验,大专,11500.0
开发工程师,杭州,2年经验,大专,12000.0
开发工程师,南京,2年经验,本科,9000.0
算法,厦门,1年经验,本科,12500.0
其他,深圳,3-4年经验,本科,12500.0
实习,深圳,无需经验,大专,7000.0
开发工程师,上海,2年经验,大专,10500.0
开发工程师,广州,1年经验,大专,7000.0
开发工程师,深圳,3-4年经验,大专,27500.0
其他,广州,3-4年经验,大专,10500.0
开发工程师,重庆,3-4年经验,本科,10500.0
开发工程师,上海,5-7年经验,大专,15500.0
开发工程师,广州,3-4年经验,大专,17500.0
开发工程师,深圳,3-4年经验,本科,12500.0
其他,杭州,2年经验,本科,8000.0
开发工程师,郑州,2年经验,大专,5000.0
开发工程师,长沙,2年经验,大专,8000.0
开发工程师,成都,无需经验,,3750.0
开发工程师,大连,2年经验,,8000.0
开发工程师,天津,2年经验,本科,11500.0
其他,广州,1年经验,大专,7500.0
开发工程师,武汉,1年经验,本科,8500.0
开发工程师,合肥,3-4年经验,本科,12500.0
开发工程师,广州,2年经验,大专,10000.0
开发工程师,西安,3-4年经验,大专,7500.0
开发工程师,武汉,5-7年经验,本科,12500.0
其他,上海,1年经验,本科,7000.0
其他,上海,5-7年经验,本科,18500.0
开发工程师,异地招聘,5-7年经验,本科,22500.0
开发工程师,北京,在校生\/应届生,本科,9000.0
架构师,深圳,5-7年经验,大专,35000.0
讲师,成都,3-4年经验,大专,12500.0
开发工程师,杭州,1年经验,大专,6000.0
开发工程师,上海,2年经验,本科,12500.0
开发工程师,杭州,3-4年经验,大专,12500.0
开发工程师,杭州,3-4年经验,大专,12500.0
开发工程师,异地招聘,招4人,,8000.0
开发工程师,成都,2年经验,本科,20000.0
其他,深圳,3-4年经验,本科,
开发工程师,上海,3-4年经验,大专,17500.0
开发工程师,上海,2年经验,本科,12500.0
开发工程师,南京,1年经验,本科,7500.0
讲师,贵阳,1年经验,本科,6500.0
开发工程师,广州,2年经验,本科,11500.0
开发工程师,上海,3-4年经验,本科,25000.0
开发工程师,上海,5-7年经验,本科,18500.0
数据分析,杭州,2年经验,本科,14000.0
开发工程师,上海,1年经验,本科,12500.0
开发工程师,广州,3-4年经验,本科,11500.0
开发工程师,杭州,3-4年经验,本科,12500.0
开发工程师,杭州,1年经验,本科,11500.0
其他,上海,1年经验,本科,15000.0
开发工程师,上海,1年经验,本科,9000.0
开发工程师,南京,3-4年经验,大专,9000.0
开发工程师,深圳,本科,本科,9000.0
开发工程师,北京,3-4年经验,本科,30000.0
其他,深圳,无需经验,硕士,
其他,南京,1年经验,大专,7500.0
开发工程师,上海,2年经验,本科,9000.0
开发工程师,深圳,3-4年经验,本科,16500.0
开发工程师,深圳,3-4年经验,本科,17500.0
其他,北京,2年经验,本科,12500.0
讲师,杭州,1年经验,本科,11500.0
其他,广州,3-4年经验,本科,14000.0
开发工程师,深圳,1年经验,本科,9000.0
其他,深圳,1年经验,大专,9000.0
开发工程师,上海,2年经验,大专,12500.0
开发工程师,北京,3-4年经验,本科,20833.333333333336
其他,佛山,在校生\/应届生,大专,7500.0
实习,武汉,在校生\/应届生,本科,4000.0
开发工程师,东莞,2年经验,本科,11500.0
开发工程师,上海,3-4年经验,本科,10500.0
开发工程师,深圳,3-4年经验,本科,12500.0
测试,东莞,3-4年经验,本科,17500.0
测试,上海,2年经验,本科,13000.0
开发工程师,北京,1年经验,本科,14000.0
开发工程师,上海,2年经验,本科,12000.0
开发工程师,南京,在校生\/应届生,本科,9000.0
开发工程师,佛山,2年经验,本科,11500.0
开发工程师,大连,3-4年经验,大专,9000.0
开发工程师,北京,2年经验,本科,12500.0
开发工程师,洛阳,2年经验,本科,6000.0
开发工程师,成都,无需经验,,5250.0
其他,上海,2年经验,大专,12500.0
开发工程师,北京,2年经验,本科,18000.0
开发工程师,杭州,5-7年经验,本科,21500.0
开发工程师,成都,3-4年经验,大专,12500.0
开发工程师,广州,1年经验,大专,7500.0
其他,上海,3-4年经验,大专,14000.0
开发工程师,深圳,2年经验,本科,22500.0
其他,苏州,1年经验,大专,7000.0
开发工程师,成都,1年经验,本科,17500.0
开发工程师,广州,5-7年经验,大专,21500.0
其他,昆山,5-7年经验,本科,16000.0
